RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
61639,10025,NY,New York,New York,New York,0,1139543,0.00022119,-0.001445855,0.068712979,0.059781501,0.02796384,2017-12,2017-Q4,1141193,-0.001445855,2017-12
84654,60657,IL,Chicago,Cook,Chicago,1,345798,-0.001293878,-0.003888831,0.021279235,0.043548617,0.006698413,2005-12,2005-Q4,349809,-0.011466257,2005-08
61637,10023,NY,New York,New York,New York,2,1579506,0.002480328,-0.000124074,-0.013271279,0.04230731,0.019387394,2016-11,2016-Q4,1616437,-0.022847163,2016-01
84616,60614,IL,Chicago,Cook,Chicago,3,424873,0.002546048,0.000433258,0.024027245,0.055965807,0.012508562,2018-03,2018-Q1,424873,0,2018-03
93144,79936,TX,El Paso,El Paso,El Paso,4,120540,0.00010786,-0.002383553,0.019831466,0.011364644,-0.007247724,2007-11,2007-Q4,132932,-0.093220594,2007-01
61616,10002,NY,New York,New York,New York,5,987917,0.003108069,-0.004960507,0.056417204,0.056173856,0.024077174,2017-10,2017-Q4,1002643,-0.014687182,2017-07
61807,10467,NY,New York,Bronx,New York,6,387610,0.001294209,0.003565205,0.065579855,0.072553067,0.005610338,2007-06,2007-Q2,394109,-0.016490362,2007-03
84640,60640,IL,Chicago,Cook,Chicago,7,243196,0.008618187,0.028099886,0.050608905,0.065194622,-0.004784946,2007-01,2007-Q1,271269,-0.103487682,2004-11
91940,77449,TX,Houston,Harris,Katy,8,177770,0.008996226,0.029041464,0.061193059,0.083714468,0.028050102,2018-03,2018-Q1,177770,0,2018-03
97564,94109,CA,San Francisco,San Francisco,San Francisco,9,1264421,0.002157408,-0.000786303,0.107185201,0.081055721,0.051207664,2017-12,2017-Q4,1265416,-0.000786303,2017-12
62037,11226,NY,New York,Kings,New York,10,743618,0.002086057,0.026879679,0.137724697,0.107444647,0.033163446,2018-03,2018-Q1,743618,0,2018-03
61630,10016,NY,New York,New York,New York,11,1028752,0.000861006,-0.001283403,-0.039222077,0.042820998,0.013807512,2017-02,2017-Q1,1085269,-0.05207649,2016-02
71831,32162,FL,The Villages,Sumter,The Villages,12,248888,0.000663389,0.00366968,0.008999951,0.034579728,0.011376135,2017-08,2017-Q3,251250,-0.009400995,2017-06
62087,11375,NY,New York,Queens,New York,13,978588,0.002552,0.013988362,0.078708312,0.086742034,0.042352851,2018-03,2018-Q1,978588,0,2018-03
62045,11235,NY,New York,Kings,New York,14,731620,0.001657975,0.016654276,0.099654601,0.072389188,0.030558098,2018-03,2018-Q1,731620,0,2018-03
74101,37013,TN,Nashville,Davidson,Nashville,15,204695,0.011184058,0.037538839,0.140304943,0.110869229,0.036123715,2018-03,2018-Q1,204695,0,2018-03
96107,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,16,616210,0.006717879,0.024179689,0.099552299,0.101014737,0.028785244,2018-03,2018-Q1,616210,0,2018-03
84646,60647,IL,Chicago,Cook,Chicago,17,383622,0.002899248,0.013334249,0.032805025,0.082572764,0.018242775,2018-03,2018-Q1,383622,0,2018-03
74242,37211,TN,Nashville,Davidson,Nashville,18,251144,0.009530777,0.033948406,0.127698076,0.133705102,0.05446789,2018-03,2018-Q1,251144,0,2018-03
61623,10009,NY,New York,New York,New York,19,1095854,-0.000726758,-0.008601707,-0.094413373,0.045584267,0.013803618,2017-06,2017-Q2,1218741,-0.100831104,2016-09
92593,78660,TX,Austin,Travis,Pflugerville,20,246445,0.009408228,0.030758163,0.076630378,0.076714502,0.035366526,2018-03,2018-Q1,246445,0,2018-03
84620,60618,IL,Chicago,Cook,Chicago,21,389889,0.004770151,0.01210721,0.030874219,0.072558259,0.011881815,2018-03,2018-Q1,389889,0,2018-03
61643,10029,NY,New York,New York,New York,22,801775,0.002552099,0.005345374,0.079148552,0.073624518,0.0266539,2018-03,2018-Q1,801775,0,2018-03
