zipcode,y_2016,y_2015,y_2014,y_2013,y_2012,y_2011,y_2010,aggregate
00601,17982,17800,18088,18450,18544,18533,18570,127967
00602,40260,39716,40859,41302,41640,41930,41520,287227
00603,52408,51565,53162,53683,54540,54475,54689,374522
00606,6331,6320,6415,6591,6593,6386,6615,45251
00610,28328,27976,28805,28963,29141,29111,29016,201340
00612,64816,63884,66251,68055,69017,70541,67010,469574
00616,10707,10321,10466,10183,10750,10617,11017,74061
00617,24793,24648,24917,24879,24733,24458,24597,173025
00622,7425,7385,6589,6165,5923,5419,7853,46759
00623,42955,42711,44117,44704,44943,45314,43061,307805
00624,24628,23945,24902,25340,26016,26439,26241,177511
00627,33949,33481,34438,34806,35085,35260,35159,242178
00631,1664,1689,1847,1747,1800,1836,1852,12435
00637,24398,24013,24799,24996,25312,25511,25287,174316
00638,18084,17795,18365,18742,18997,19166,18941,130090
00641,29516,28925,30183,30401,30771,30987,31191,211974
00646,38396,38292,38305,38303,38179,37942,38199,267616
00647,5740,5711,5245,5640,5869,5605,6172,39982
00650,14738,14569,14679,14969,15120,15359,14998,104432
00652,3800,3893,3831,3461,3244,3378,4715,26322
00653,12514,12125,13427,13461,13502,14048,13307,92384
00656,20414,19996,20839,21172,21438,21684,21481,147024
00659,41578,41327,41830,41932,41945,41843,41953,292408
00660,16845,16678,17023,17151,17217,17239,17250,119403
00662,42499,41986,43101,43535,43598,43600,43282,301601
00664,15974,15693,16298,16508,16665,16907,16784,114829
00667,24968,24492,25510,25797,26102,26300,25968,179137
00669,27703,27063,28442,28984,29569,30210,29744,201715
00670,9333,9087,9478,9689,9814,9867,9807,67075
00674,42358,41545,43240,43848,44365,44838,44457,304651
00676,38999,38488,39513,39916,40145,40310,40316,277687
00677,14855,14755,15012,15108,15197,15201,15272,105400
00678,26815,26490,27045,27229,27419,27733,27819,190550
00680,52431,50628,54824,56003,57220,57649,58140,386895
00682,32431,32433,31908,32509,32899,33510,32615,228305
00683,32569,32058,33050,33442,33581,34123,33772,232595
00685,40800,40102,41403,41947,42552,42753,42831,292388
00687,32294,32087,32484,32609,32617,32508,32610,227209
00688,12870,12797,13251,13340,13036,12311,13543,91148
00690,5565,5328,5906,6299,6174,6909,6255,42436
00692,36777,36700,37329,37618,37615,37691,37511,261241
00693,58615,57428,59513,60211,60873,61208,61038,418886
00694,77,66,134,157,152,199,328,1113
00698,39395,38502,40276,41179,41788,42394,41782,285316
